transaction_id,customer_id,merchant_id,amount,transaction_time,is_fraudulent,card_type,location,purchase_category,customer_age,transaction_description
1,1082,2027,5758.59,01/01/2023 00:00,0,MasterCard,City-30,Gas Station,43,Purchase at Merchant-2027
2,1015,2053,19010.56,01/01/2023 00:00,1,American Express,City-47,Online Shopping,61,Purchase at Merchant-2053
3,1004,2035,12480.86,01/01/2023 00:00,1,American Express,City-6,Gas Station,57,Purchase at Merchant-2035
4,1095,2037,76190.05,01/01/2023 00:00,1,Discover,City-6,Gas Station,59,Purchase at Merchant-2037
5,1036,2083,18900.10,01/01/2023 00:00,1,American Express,City-34,Retail,36,Purchase at Merchant-2083
6,1032,2021,84870.68,01/01/2023 00:00,1,American Express,City-1,Gas Station,43,Purchase at Merchant-2021
7,1029,2033,75650.30,01/01/2023 00:00,1,American Express,City-7,Online Shopping,19,Purchase at Merchant-2033
8,1018,2088,2284.88,01/01/2023 00:00,0,American Express,City-46,Travel,40,Purchase at Merchant-2088
9,1095,2077,3952.73,01/01/2023 00:00,0,American Express,City-45,Groceries,43,Purchase at Merchant-2077
10,1014,2031,8362.04,01/01/2023 00:00,0,Visa,City-25,Restaurant,55,Purchase at Merchant-2031
11,1087,2052,29740.23,01/01/2023 00:00,1,American Express,City-29,Retail,70,Purchase at Merchant-2052
12,1095,2031,4128.7,01/01/2023 00:00,0,Discover,City-45,Travel,27,Purchase at Merchant-2031
13,1070,2015,64090.54,01/01/2023 00:00,1,American Express,City-30,Gas Station,46,Purchase at Merchant-2015
14,1012,2020,21900.40,01/01/2023 00:00,1,American Express,City-19,Gas Station,34,Purchase at Merchant-2020
15,1076,2025,25160.99,01/01/2023 00:00,1,American Express,City-13,Retail,41,Purchase at Merchant-2025
16,1055,2004,34540.14,01/01/2023 00:00,1,Discover,City-25,Retail,19,Purchase at Merchant-2004
17,1005,2032,24150.30,01/01/2023 00:00,1,American Express,City-4,Online Shopping,41,Purchase at Merchant-2032
18,1004,2040,79.76,01/01/2023 00:00,0,Visa,City-17,Restaurant,64,Purchase at Merchant-2040
19,1012,2060,89060.66,01/01/2023 00:00,1,American Express,City-35,Gas Station,62,Purchase at Merchant-2060
20,1028,2063,68380.47,01/01/2023 00:00,1,Discover,City-40,Groceries,44,Purchase at Merchant-2063
21,1030,2072,28210.68,01/01/2023 00:00,1,American Express,City-1,Groceries,57,Purchase at Merchant-2072
22,1065,2056,1621.03,01/01/2023 00:00,0,MasterCard,City-38,Retail,40,Purchase at Merchant-2056
23,1078,2055,625.58,01/01/2023 00:00,0,Visa,City-34,Online Shopping,60,Purchase at Merchant-2055
24,1004,2083,49440.29,01/01/2023 00:00,1,Discover,City-22,Retail,51,Purchase at Merchant-2083
25,1072,2005,9027.91,01/01/2023 00:00,0,Visa,City-39,Groceries,28,Purchase at Merchant-2005
26,1026,2026,6130.44,01/01/2023 00:00,1,American Express,City-10,Gas Station,42,Purchase at Merchant-2026
27,1092,2021,7558.94,01/01/2023 00:00,0,Visa,City-29,Restaurant,23,Purchase at Merchant-2021
28,1084,2035,43060.65,01/01/2023 00:00,1,American Express,City-7,Groceries,45,Purchase at Merchant-2035
29,1090,2018,67430.61,01/01/2023 00:00,1,American Express,City-17,Groceries,65,Purchase at Merchant-2018
30,1070,2004,8987.41,01/01/2023 00:00,0,MasterCard,City-15,Online Shopping,55,Purchase at Merchant-2004
31,1054,2034,44640.86,01/01/2023 00:00,1,American Express,City-44,Gas Station,24,Purchase at Merchant-2034
32,1029,2036,97710.90,01/01/2023 00:00,1,American Express,City-27,Online Shopping,30,Purchase at Merchant-2036
33,1058,2085,67480.27,01/01/2023 00:00,1,Discover,City-37,Retail,35,Purchase at Merchant-2085
34,1076,2071,3190.8,01/01/2023 00:00,0,Visa,City-50,Gas Station,32,Purchase at Merchant-2071
35,1036,2023,77160.15,01/01/2023 00:00,1,American Express,City-18,Online Shopping,58,Purchase at Merchant-2023
36,1001,2083,91450.62,01/01/2023 00:00,1,American Express,City-31,Retail,66,Purchase at Merchant-2083
37,1098,2006,6983.78,01/01/2023 00:00,0,MasterCard,City-17,Restaurant,51,Purchase at Merchant-2006
38,1021,2093,60590.01,01/01/2023 00:00,1,American Express,City-39,Gas Station,61,Purchase at Merchant-2093
39,1090,2063,9593.37,01/01/2023 00:00,0,American Express,City-14,Groceries,66,Purchase at Merchant-2063
40,1055,2003,5696.32,01/01/2023 00:00,0,Discover,City-41,Online Shopping,22,Purchase at Merchant-2003
41,1044,2008,7274.22,01/01/2023 00:00,0,American Express,City-20,Online Shopping,27,Purchase at Merchant-2008
42,1036,2011,31970.45,01/01/2023 00:00,1,American Express,City-50,Gas Station,66,Purchase at Merchant-2011
43,1020,2041,35870.54,01/01/2023 00:00,1,Discover,City-31,Gas Station,39,Purchase at Merchant-2041
44,1028,2078,8111.54,01/01/2023 00:00,0,American Express,City-25,Online Shopping,53,Purchase at Merchant-2078
45,1098,2039,3710.73,01/01/2023 00:00,0,Discover,City-45,Groceries,21,Purchase at Merchant-2039
46,1044,2009,3009.47,01/01/2023 00:00,0,Visa,City-34,Restaurant,29,Purchase at Merchant-2009
47,1014,2053,48950.98,01/01/2023 00:00,1,American Express,City-35,Groceries,38,Purchase at Merchant-2053
48,1012,2047,54630.71,01/01/2023 00:00,1,American Express,City-38,Online Shopping,43,Purchase at Merchant-2047
49,1049,2086,7452.24,01/01/2023 00:00,0,MasterCard,City-14,Retail,28,Purchase at Merchant-2086
50,1013,2085,22880.84,01/01/2023 00:00,1,American Express,City-46,Online Shopping,23,Purchase at Merchant-2085
51,1046,2012,1713.82,01/01/2023 00:00,0,Visa,City-33,Groceries,56,Purchase at Merchant-2012
52,1045,2051,69110.74,01/01/2023 00:00,1,Discover,City-27,Retail,46,Purchase at Merchant-2051
53,1078,2093,4103.23,01/01/2023 00:00,0,Visa,City-6,Travel,35,Purchase at Merchant-2093
54,1034,2018,8800.95,01/01/2023 00:00,0,American Express,City-26,Retail,48,Purchase at Merchant-2018
55,1006,2031,3250.43,01/01/2023 00:00,0,Visa,City-41,Restaurant,45,Purchase at Merchant-2031
56,1094,2015,79640.55,01/01/2023 00:00,1,Discover,City-48,Groceries,21,Purchase at Merchant-2015
57,1059,2074,94520.68,01/01/2023 00:00,1,American Express,City-6,Groceries,37,Purchase at Merchant-2074
58,1069,2095,4038.38,01/01/2023 00:00,0,Visa,City-45,Groceries,64,Purchase at Merchant-2095
59,1016,2065,86880.14,01/01/2023 00:00,1,American Express,City-34,Retail,37,Purchase at Merchant-2065
60,1049,2016,4649.28,01/01/2023 00:00,0,American Express,City-43,Retail,21,Purchase at Merchant-2016
61,1011,2067,15350.32,01/01/2023 00:01,1,American Express,City-31,Groceries,37,Purchase at Merchant-2067
62,1071,2086,7381.21,01/01/2023 00:01,0,MasterCard,City-30,Groceries,27,Purchase at Merchant-2086
63,1038,2075,3861.79,01/01/2023 00:01,0,Visa,City-25,Restaurant,35,Purchase at Merchant-2075
64,1081,2100,9496.84,01/01/2023 00:01,0,Visa,City-20,Online Shopping,24,Purchase at Merchant-2100
